證券代號,證券名稱,開盤價,收盤價,漲跌價差,成交筆數
6668,中揚光,"1,359,229","68,410,071",52.20,52.20
6669,緯穎,"2,248,997","1,514,950,077",695.00,695.00
6670,復盛應用,"836,300","118,487,448",141.00,146.00
6671,三能-KY,"121,000","3,839,100",31.15,32.80
6672,騰輝電子-KY,"661,100","48,919,030",74.00,75.20
6674,鋐寶科技,"78,050","1,340,580",17.35,17.45
6698,旭暉應材,"567,465","23,692,989",44.90,44.90
6706,惠特,"999,601","70,484,146",74.40,74.40
6715,嘉基,"313,103","22,086,210",72.10,73.00
8011,台通,"652,455","7,515,897",11.40,12.20
8016,矽創,"4,132,044","492,824,472",121.00,123.50
8021,尖點,"1,962,450","32,444,825",16.80,17.00
8028,昇陽半導體,"2,741,637","114,044,867",42.20,43.25
8033,雷虎,"321,252","2,281,588",7.07,7.21
8039,台虹,"3,668,344","149,742,019",41.40,41.85
8046,南電,"16,084,477","767,353,468",46.00,49.15
8070,長華,"217,758","29,110,314",133.50,135.00
8072,陞泰,"81,250","1,627,400",20.05,20.15
8081,致新,"1,329,207","126,114,212",96.20,97.00
8101,華冠,"734,489","2,875,277",3.90,4.06
8103,瀚荃,"280,877","5,152,100",19.00,19.05
8104,錸寶,"222,220","6,090,080",27.70,28.05
8105,凌巨,"1,756,156","14,437,071",8.20,8.40
8110,華東,"2,105,325","15,642,911",7.51,7.62
8112,至上,"4,799,068","143,724,869",30.30,30.55
8114,振樺電,"196,025","14,224,025",72.10,73.80
8131,福懋科,"1,501,100","47,564,810",32.10,32.30
8150,南茂,"5,911,679","152,103,925",26.00,26.20
8163,達方,"2,382,783","69,075,930",29.50,29.55
8201,無敵,"100,000","740,090",7.60,7.60
8210,勤誠,"2,289,161","165,246,300",72.40,74.00
8213,志超,"1,380,830","37,278,882",27.20,27.35
8215,明基材,"2,449,235","31,671,864",12.75,13.20
8222,寶一,"295,139","3,452,722",12.60,12.60
8249,菱光,"248,211","4,157,119",16.85,17.00
8261,富鼎,"399,023","6,799,892",17.10,17.50
8271,宇瞻,"3,905,157","136,888,988",36.60,37.00
8341,日友,"297,832","61,656,560",208.50,210.00
8367,建新國際,"122,000","2,579,500",21.50,21.50
8374,羅昇,"139,266","2,006,855",14.65,14.65
8404,百和興業-KY,"536,751","15,169,252",28.00,28.80
8411,福貞-KY,"164,310","1,577,471",9.66,9.99
8422,可寧衛,"433,589","59,627,693",139.50,139.50
8427,基勝-KY,"15,000","574,750",39.10,39.10
8429,金麗-KY,"815,503","5,315,517",6.45,6.68
8442,威宏-KY,"173,001","7,888,846",43.95,46.20
8443,阿瘦,"49,066","399,689",8.20,8.22
8454,富邦媒,"294,552","93,310,328",307.00,331.00
8462,柏文,"780,890","95,931,428",128.50,130.50
8463,潤泰材,"483,380","15,250,148",33.50,33.85
8464,億豐,"1,491,700","292,066,800",207.50,207.50
8466,美吉吉-KY,"62,000","3,743,500",61.00,61.20
8467,波力-KY,"16,000","643,550",39.50,40.95
8473,山林水,"235,283","8,537,227",37.05,37.05
8478,東哥遊艇,"182,000","5,233,000",26.85,29.30
8480,泰昇-KY,"29,125","3,425,062",118.50,118.50
8481,政伸,"21,000","1,055,000",51.00,51.00
8482,商億-KY,"103,025","11,977,887",120.00,120.00
8488,吉源-KY,"14,000","174,100",12.25,12.65
8497,格威傳媒,"302,927","20,551,155",67.90,67.90
8499,鼎炫-KY,"149,030","10,124,340",67.20,69.70
8926,台汽電,"2,873,470","82,902,779",28.85,29.25
8940,新天地,"40,000","348,290",8.97,8.97
8996,高力,"5,291,290","242,374,639",46.40,47.45
9103,美德醫療-DR,"8,273,100","34,460,120",4.38,4.38
910322,康師傅-DR,"116,000","2,963,600",25.70,25.95
910482,聖馬丁-DR,"13,704","3,654",0.26,0.27
9105,泰金寶-DR,"5,030,903","12,586,915",2.59,2.59
910861,神州-DR,"28,000","183,580",6.37,6.66
9110,越南控-DR,"138,000","179,800",1.35,1.40
911608,明輝-DR,"52,000","47,000",0.91,0.92
911616,杜康-DR,"367,000","261,740",0.73,0.74
911622,泰聚亨-DR,0,0,0.00,0.00
911868,同方友友-DR,"83,000","72,880",0.89,0.89
912000,晨訊科-DR,"27,000","45,020",1.75,1.75
912398,友佳-DR,"10,000","29,300",3.35,3.35
9136,巨騰-DR,"263,000","1,528,160",5.94,5.94
9188,精熙-DR,"76,000","192,180",2.52,2.55
9802,鈺齊-KY,"1,740,050","136,134,100",80.00,80.20
9902,台火,"144,100","1,043,033",7.20,7.45
9904,寶成,"13,533,108","350,201,158",26.20,26.30
9905,大華,"424,010","8,089,694",19.20,19.30
9906,欣巴巴,"68,000","1,111,450",16.40,16.50
9907,統一實,"2,260,887","18,672,880",8.26,8.39
9908,大台北,"412,410","11,636,668",28.00,28.55
9910,豐泰,"2,721,446","348,676,908",130.50,131.00
9911,櫻花,"900,257","36,079,980",39.75,40.60
9912,偉聯,"55,203","347,058",6.49,6.65
9914,美利達,"1,695,983","192,272,582",118.50,118.50
9917,中保科,"599,926","48,748,906",82.90,82.90
9918,欣天然,"70,001","2,223,132",31.30,32.00
9919,康那香,"16,373,626","314,948,944",19.45,19.90
9921,巨大,"2,108,399","274,578,765",129.50,133.50
9924,福興,"1,968,555","67,317,722",35.90,35.90
9925,新保,"391,709","13,140,815",33.65,33.65
9926,新海,"52,910","2,047,027",38.60,39.10
9927,泰銘,"599,027","16,073,470",27.20,27.20
9928,中視,"5,085","20,540",4.04,4.04
9929,秋雨,"25,018","292,508",11.30,12.15
9930,中聯資源,"231,700","9,277,960",40.70,40.70
9931,欣高,"51,125","1,753,535",34.30,34.95
9933,中鼎,"2,376,095","68,481,534",29.25,29.40
9934,成霖,"1,087,675","12,469,060",11.60,11.60
9935,慶豐富,"3,891,130","85,314,491",21.50,22.90
9937,全國,"99,540","4,088,983",40.70,42.40
9938,百和,"1,859,507","95,411,309",52.60,53.40
9939,宏全,"3,226,364","144,916,386",46.00,46.45
9940,信義,"614,392","15,029,849",25.00,25.00
9941,裕融,"1,154,041","94,259,381",83.00,84.00
9941A,裕融甲特,"110,495","5,692,743",51.00,51.60
9942,茂順,"446,980","25,102,580",58.40,58.40
9943,好樂迪,"1,240,952","62,381,800",52.30,52.30
9944,新麗,"1,463,020","22,024,560",15.60,15.60
9945,潤泰新,"5,262,676","178,768,894",34.20,34.30
9946,三發地產,"871,456","10,936,770",12.55,12.55
9955,佳龍,"827,246","10,257,476",13.10,13.10
9958,世紀鋼,"10,816,881","868,126,524",81.00,81.80
