sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
林園,高雄市,69,細懸浮微粒,普通,1,0.22,27.8,49.0,55,21,21.6,21.8,0.2,1.6,229,"2024-11-14 19:00",,0.2,22.7,49,1,120.41175,22.4795,52
大寮,高雄市,80,細懸浮微粒,普通,2.2,0.52,1.7,44.8,44,30,47.1,51.9,4.7,1,334,"2024-11-14 19:00",,0.3,27.3,38,2,120.425311,22.56413611,51
鳳山,高雄市,76,細懸浮微粒,普通,1.2,0.89,17.5,43.8,48,27,28.8,32.5,3.6,0.4,215,"2024-11-14 19:00",,0.6,25.6,50,1,120.357422,22.628126,50
仁武,高雄市,65,細懸浮微粒,普通,1.3,0.38,24.3,44.0,46,17,22.4,23,0.5,0.4,280,"2024-11-14 19:00",,0.2,21.2,42,1,120.332631,22.689056,49
橋頭,高雄市,66,細懸浮微粒,普通,0.9,0.32,32.9,44.2,48,19,13.2,14.1,0.8,0.6,8,"2024-11-14 19:00",,0.2,21.7,48,0,120.305689,22.757506,48
美濃,高雄市,57,細懸浮微粒,普通,0.7,0.3,32.5,40.4,41,23,8.5,9.2,0.7,0.7,112,"2024-11-14 19:00",,0.2,18,37,0,120.530542,22.883583,47
臺南,臺南市,67,細懸浮微粒,普通,0.5,0.45,38.2,45.5,53,21,14.1,15.2,1.1,2.1,352,"2024-11-14 19:00",,0.2,22.1,49,0,120.21947897,22.98928311,46
安南,臺南市,63,細懸浮微粒,普通,0.7,0.28,41.9,45.7,45,21,7.2,8.1,0.8,2.2,310,"2024-11-14 19:00",,0.2,20.5,46,0,120.2175,23.048197,45
善化,臺南市,70,細懸浮微粒,普通,0.9,0.27,34.5,45.8,51,26,11.8,12.9,1,1.3,340,"2024-11-14 19:00",,0.1,23.1,51,1,120.29740529,23.11337642,44
新營,臺南市,87,細懸浮微粒,普通,1.2,0.26,36.3,44.9,72,38,13.7,15.4,1.6,2.5,10,"2024-11-14 19:00",,0.2,30.2,66,0,120.31725,23.305633,43
嘉義,嘉義市,120,細懸浮微粒,對敏感族群不健康,2,0.49,35.6,43.3,94,48,16.5,17.5,0.9,1.7,7,"2024-11-14 19:00",,0.3,42.8,82,1,120.44125148,23.46477865,42
臺西,雲林縣,55,細懸浮微粒,普通,1.2,0.21,31.3,41.6,38,12,8.4,9.5,1.1,1.5,27,"2024-11-14 19:00",,0.1,17.3,40,1,120.19933333,23.702175,41
朴子,嘉義縣,67,細懸浮微粒,普通,0.8,0.23,35.3,47.3,51,22,8.5,9.7,1.2,1.6,347,"2024-11-14 19:00",,0.1,22,48,1,120.2478,23.46538,40
新港,嘉義縣,88,細懸浮微粒,普通,1.7,0.19,31.9,47.4,50,22,8.8,9.8,0.9,1.5,326,"2024-11-14 19:00",,0.1,30.7,63,1,120.345531,23.554839,39
崙背,雲林縣,110,細懸浮微粒,對敏感族群不健康,0.8,0.24,20.4,39.2,58,34,10.7,11.1,0.4,0.3,280,"2024-11-14 19:00",,0.2,39,72,0,120.348742,23.757547,38
斗六,雲林縣,152,細懸浮微粒,對所有族群不健康,3.1,0.57,41.1,50.0,97,60,15.6,17.3,1.6,0.9,315,"2024-11-14 19:00",,0.3,56.7,86,1,120.544994,23.711853,37
南投,南投縣,123,細懸浮微粒,對敏感族群不健康,1.2,0.44,32.1,46.9,88,49,23.8,24.8,0.9,0.5,57,"2024-11-14 19:00",,0.3,43.9,75,1,120.685306,23.913,36
二林,彰化縣,87,細懸浮微粒,普通,1.6,0.18,23.7,45.2,35,16,9.1,10.2,1.1,0.6,331,"2024-11-14 19:00",,0.2,30.2,69,1,120.409653,23.925175,35
線西,彰化縣,69,細懸浮微粒,普通,1.1,0.14,22.5,43.1,36,11,9.6,10.4,0.7,0.3,359,"2024-11-14 19:00",,0.2,22.9,48,1,120.469061,24.131672,34
彰化,彰化縣,109,細懸浮微粒,對敏感族群不健康,1.7,0.39,15.3,28.9,60,24,24.5,25.7,1.2,0.9,286,"2024-11-14 19:00",,0.3,38.7,65,1,120.541519,24.066,33
西屯,臺中市,117,細懸浮微粒,對敏感族群不健康,1.2,0.44,41.6,37.2,84,43,20.6,22.5,1.8,0.8,7,"2024-11-14 19:00",,0.3,41.5,77,1,120.616917,24.162197,32
忠明,臺中市,110,細懸浮微粒,對敏感族群不健康,1.1,0.53,45.6,40.0,66,42,15.8,17.1,1.3,0.5,348,"2024-11-14 19:00",,0.4,39.1,64,1,120.641092,24.151958,31
大里,臺中市,131,細懸浮微粒,對敏感族群不健康,1.8,0.61,26.7,43.6,80,43,22.2,24,1.8,1.3,244,"2024-11-14 19:00",,0.4,47.2,75,1,120.67844444,24.09961111,30
沙鹿,臺中市,100,細懸浮微粒,普通,0.8,0.36,26.2,42.6,57,22,16.5,17.6,1,0.2,347,"2024-11-14 19:00",,0.3,35.4,71,1,120.568794,24.225628,29
豐原,臺中市,126,細懸浮微粒,對敏感族群不健康,1.2,0.43,26.5,35.3,91,47,13.6,14.5,0.9,0.6,144,"2024-11-14 19:00",,0.4,45.3,84,1,120.74252414,24.25699731,28
三義,苗栗縣,115,細懸浮微粒,對敏感族群不健康,0.8,0.31,52.1,41.5,75,38,3.6,4.7,1.1,0.3,324,"2024-11-14 19:00",,0.3,41,72,0,120.75956754,24.38248443,27
苗栗,苗栗縣,107,細懸浮微粒,對敏感族群不健康,1.5,0.44,34.6,50.4,64,46,13.6,14.8,1.2,1.2,183,"2024-11-14 19:00",,0.3,37.7,60,1,120.82011468,24.56499183,26
頭份,苗栗縣,99,細懸浮微粒,普通,1.4,0.46,35.4,53.4,61,35,20.9,22.2,1.2,1.3,288,"2024-11-14 19:00",,0.3,35,60,1,120.89869286,24.69690679,25
新竹,新竹市,106,細懸浮微粒,對敏感族群不健康,1.4,0.83,29.1,54.4,59,41,27.6,28,0.4,1.4,284,"2024-11-14 19:00",,0.4,37.6,53,1,120.97236752,24.8056356,24
竹東,新竹縣,102,細懸浮微粒,對敏感族群不健康,0.8,0.51,38.1,53.5,55,42,17.5,18.6,1,0.6,197,"2024-11-14 19:00",,0.4,36,56,1,121.08895493,24.74091408,23
湖口,新竹縣,120,細懸浮微粒,對敏感族群不健康,0.7,0.41,35.9,58.4,72,55,11.1,11.5,0.3,0.4,4,"2024-11-14 19:00",,0.3,43,54,0,121.03886894,24.90009696,22
龍潭,桃園市,138,細懸浮微粒,對敏感族群不健康,1.8,0.82,20.8,54.9,95,75,40,41.3,1.3,1.3,60,"2024-11-14 19:00",,0.5,49.7,69,1,121.21645772,24.86400048,21
平鎮,桃園市,129,細懸浮微粒,對敏感族群不健康,1.2,0.74,36.3,52.9,110,70,30.6,31.8,1.1,0.5,314,"2024-11-14 19:00",,0.4,46.4,72,1,121.203986,24.952786,20
觀音,桃園市,105,細懸浮微粒,對敏感族群不健康,0.5,0.36,35.4,52.6,73,42,17.9,18.5,0.5,1.2,313,"2024-11-14 19:00",,0.3,37.2,63,1,121.08283092,25.03556747,19
大園,桃園市,98,細懸浮微粒,普通,0.8,0.44,34.6,47.5,57,32,25.2,26.6,1.3,0.9,317,"2024-11-14 19:00",,0.4,34.7,60,2,121.20251473,25.06100357,18
桃園,桃園市,112,細懸浮微粒,對敏感族群不健康,4.6,0.86,8.5,43.6,79,49,55.5,58.6,3.1,1.4,82,"2024-11-14 19:00",,0.5,39.8,67,2,121.30500531,24.9947107,17
大同,臺北市,33,,良好,1.9,2.31,,,12,12,18,123.4,105.3,-,-,"2024-11-14 19:00",,1.3,10.3,13,0,121.51342074,25.06331455,16
松山,臺北市,18,,良好,0.7,0.38,2.8,9.3,13,4,11.5,30.2,18.6,2.2,22,"2024-11-14 19:00",,0.1,2.4,11,0,121.578611,25.05,15
古亭,臺北市,10,,良好,0,0.13,11.3,11.6,6,3,3.4,4.9,1.5,3.1,85,"2024-11-14 19:00",,0.1,1.6,8,,121.529556,25.020608,14
萬華,臺北市,18,,良好,1.7,0.34,2.4,6.1,9,1,11.6,23,11.4,3.1,86,"2024-11-14 19:00",,0.2,1.4,11,1,121.507972,25.046503,13
中山,臺北市,23,,良好,0.3,0.42,3.3,7.2,15,5,14.6,24.9,10.2,3.6,75,"2024-11-14 19:00",,0.2,5.3,12,0,121.526528,25.062361,12
士林,臺北市,15,,良好,0.3,0.21,7.1,11.2,9,3,9.2,11.6,2.4,2.6,143,"2024-11-14 19:00",,0.1,3.4,11,0,121.51666356,25.10334003,11
淡水,新北市,34,,良好,1,0.08,13.5,24.4,10,2,2.4,3.3,0.9,6.5,150,"2024-11-14 19:00",,0.1,10.5,24,1,121.449239,25.1645,10
林口,新北市,22,,良好,0,0.27,3.3,8.4,6,3,13.2,18,4.7,2.9,96,"2024-11-14 19:00",,0.2,2.5,11,0,121.36548982,25.07798949,9
菜寮,新北市,18,,良好,0.5,0.39,5.2,10.0,7,6,11.9,16.2,4.3,3.8,117,"2024-11-14 19:00",,0.2,5.5,9,0,121.481028,25.06895,8
新莊,新北市,24,,良好,0.7,0.29,5.4,9.8,17,7,9.3,11.6,2.2,3.2,89,"2024-11-14 19:00",,0.2,7.4,20,0,121.4325,25.037972,7
板橋,新北市,20,,良好,0.4,0.46,4.3,8.8,7,3,12.6,21.2,8.5,0.9,78,"2024-11-14 19:00",,0.3,4.4,12,0,121.458667,25.012972,6
土城,新北市,20,,良好,0.5,0.32,7.4,11.2,9,6,11,13.3,2.3,1.4,134,"2024-11-14 19:00",,0.2,6.2,13,0,121.451861,24.982528,5
新店,新北市,25,,良好,0.8,0.13,10.5,12.5,8,7,3.5,4.8,1.3,4,129,"2024-11-14 19:00",,0.1,7.7,8,0,121.537778,24.977222,4
萬里,新北市,12,,良好,0.3,0.16,8.4,12.4,7,5,5.4,9.7,4.2,1.6,210,"2024-11-14 19:00",,0.1,3.7,10,0,121.689881,25.179667,3
汐止,新北市,22,,良好,0.3,0.32,2.4,8.6,9,1,12.9,24.7,11.8,0.7,20,"2024-11-14 19:00",,0.1,6.7,8,0,121.64081,25.06624,2
基隆,基隆市,11,,良好,0.7,0.13,11.8,12.9,6,2,2.9,4.7,1.7,1.8,91,"2024-11-14 19:00",,0.1,1.7,8,0,121.760056,25.129167,1
屏東(枋山),屏東縣,43,,良好,0.5,0.15,54.5,46.4,38,15,3,3,0,2.2,315,"2024-11-14 19:00",,0.1,12.6,32,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,17,,良好,0.1,0.08,11.8,17.4,15,3,5,8.3,3.3,1,111,"2024-11-14 19:00",,0,3.5,17,0,121.82463916,24.85366672,312
新北(樹林),新北市,69,細懸浮微粒,普通,1.4,0.74,8.9,17.4,66,39,34.4,40.6,6.1,0,70,"2024-11-14 19:00",,0.4,22.8,42,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,64,細懸浮微粒,普通,0.3,0.15,39.7,53.6,32,13,4.6,5.5,0.8,1,316,"2024-11-14 19:00",,0.2,20.7,37,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,55,細懸浮微粒,普通,0.4,0.2,36,42.6,48,20,12.5,13.3,0.8,1.2,354,"2024-11-14 19:00",,0.1,17.3,44,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,52,細懸浮微粒,普通,1.1,0.32,34.3,41.5,43,14,10,10.5,0.5,0.4,253,"2024-11-14 19:00",,0.2,16.1,39,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,124,細懸浮微粒,對敏感族群不健康,1.7,0.62,36.6,45.2,69,43,21.2,22.6,1.4,0.5,333,"2024-11-14 19:00",,0.5,44.2,71,1,120.56373,23.96117,201
大城,彰化縣,53,細懸浮微粒,普通,0.8,0.13,39.4,40.3,28,12,4.8,5.9,1.1,2.2,27,"2024-11-14 19:00",,0.1,16.5,34,0,120.26964167,23.85493056,85
富貴角,新北市,45,,良好,0.6,0.09,18.5,36.4,21,4,3.6,3.6,0,7.8,102,"2024-11-14 19:00",,0.1,14,28,0,121.53656894,25.29681695,84
麥寮,雲林縣,70,細懸浮微粒,普通,1.3,0.19,35.5,40.8,37,15,7.8,9.4,1.5,2.1,352,"2024-11-14 19:00",,0.1,23.4,42,1,120.251825,23.753506,83
關山,臺東縣,23,,良好,1.2,0.14,3,6.4,24,6,4.6,7.1,2.5,0.4,153,"2024-11-14 19:00",,0.1,3.7,23,1,121.161933,23.045083,80
馬公,澎湖縣,44,,良好,1.6,0.21,42.6,47.9,19,10,3.9,4.8,0.8,2.5,32,"2024-11-14 19:00",,0.2,9.6,27,1,119.566158,23.569031,78
金門,金門縣,45,,良好,1.7,0.31,28.5,49.3,30,13,11.4,11.9,0.5,1.5,95,"2024-11-14 19:00",,0.2,14,29,1,118.312256,24.432133,77
馬祖,連江縣,33,,良好,0.7,0.28,24.3,30.4,20,14,8,8.5,0.5,2.3,5,"2024-11-14 19:00",,0.2,10.3,16,0,119.952724,26.153736,75
埔里,南投縣,53,細懸浮微粒,普通,1.5,0.46,4.2,21.5,30,21,17.8,20.5,2.7,0.3,249,"2024-11-14 19:00",,0.2,16.2,22,1,120.967903,23.968842,72
復興,高雄市,69,細懸浮微粒,普通,0.4,0.67,25.9,41.8,40,16,22.9,24.7,1.8,0.7,130,"2024-11-14 19:00",,0.3,22.8,43,0,120.312017,22.608711,71
永和,新北市,15,,良好,,0.21,9.5,10.9,7,4,5.4,8,2.5,2.7,95,"2024-11-14 19:00",,0.2,4.7,8,0,121.516306,25.017,70
竹山,南投縣,127,細懸浮微粒,對敏感族群不健康,2.5,0.53,30.8,45.7,120,67,19.5,19.6,0,1.1,202,"2024-11-14 19:00",,0.3,45.4,80,1,120.677306,23.756389,69
中壢,桃園市,124,細懸浮微粒,對敏感族群不健康,2.1,1.29,22.5,28.5,90,66,41.9,55.1,13.2,0.2,321,"2024-11-14 19:00",,0.9,44.3,66,1,121.221667,24.953278,68
三重,新北市,27,,良好,0.7,0.99,1.1,3.7,13,10,16.4,66,49.6,-,-,"2024-11-14 19:00",,0.7,7.4,15,0,121.493806,25.072611,67
冬山,宜蘭縣,19,,良好,2.1,0.11,8.9,12.3,13,6,4.3,6.2,1.9,4.7,122,"2024-11-14 19:00",,0.1,5.2,19,0,121.792928,24.632203,66
宜蘭,宜蘭縣,17,,良好,0.6,0.24,7.3,11.0,14,4,8.8,12,3.1,2.9,119,"2024-11-14 19:00",,0.1,5.1,14,0,121.746394,24.747917,65
陽明,臺北市,13,,良好,0.6,0.09,13.6,14.9,9,3,0.8,1.5,0.7,,,"2024-11-14 19:00",,0,1.1,7,0,121.529583,25.182722,64
花蓮,花蓮縣,24,,良好,0.7,0.17,10.5,12.1,24,7,3.9,5.3,1.3,1.5,134,"2024-11-14 19:00",,0.1,4.2,24,1,121.599769,23.971306,63
臺東,臺東縣,9,,良好,0.5,0.12,8.5,8.8,8,2,4.1,6.3,2.1,0.7,304,"2024-11-14 19:00",,0.1,1.6,9,0,121.15045,22.755358,62
恆春,屏東縣,13,,良好,0.6,0.09,12.2,14.1,5,1,0.8,1.7,0.9,6.6,37,"2024-11-14 19:00",,0,1.2,5,0,120.788928,21.958069,61
潮州,屏東縣,68,細懸浮微粒,普通,1.1,0.23,39.5,54.2,56,25,7.2,8,0.7,0.9,100,"2024-11-14 19:00",,0.1,22.4,43,1,120.561175,22.523108,60
屏東,屏東縣,58,細懸浮微粒,普通,1.4,0.43,,46.2,58,23,23.8,24.9,1,0.6,135,"2024-11-14 19:00",,0.2,18.5,40,1,120.488033,22.673081,59
小港,高雄市,69,細懸浮微粒,普通,2.1,0.32,7.6,36.8,59,18,47.2,53.1,5.8,1.2,310,"2024-11-14 19:00",,0.2,22.8,55,1,120.337736,22.565833,58
前鎮,高雄市,68,細懸浮微粒,普通,1.9,0.45,24,44.0,47,20,25,27.2,2.1,1.6,22,"2024-11-14 19:00",,0.2,22.6,46,1,120.30833356,22.6044507,57
前金,高雄市,58,細懸浮微粒,普通,0.8,0.27,28.9,42.1,46,15,21.8,28.3,6.5,1.7,16,"2024-11-14 19:00",,0.2,18.5,54,0,120.28676111,22.63390278,56
左營,高雄市,52,細懸浮微粒,普通,0.9,0.23,33.9,42.8,37,12,14.4,15.1,0.7,1.3,338,"2024-11-14 19:00",,0.2,16,40,0,120.292917,22.674861,54
楠梓,高雄市,59,細懸浮微粒,普通,1.2,0.41,30.6,45.7,51,14,15.8,17.2,1.3,0.9,29,"2024-11-14 19:00",,0.2,18.6,52,1,120.328289,22.733667,53
林園,高雄市,69,細懸浮微粒,普通,1,0.22,27.8,49.0,55,21,21.6,21.8,0.2,1.6,229,"2024-11-14 19:00",,0.2,22.7,49,1,120.41175,22.4795,52
大寮,高雄市,80,細懸浮微粒,普通,2.2,0.52,1.7,44.8,44,30,47.1,51.9,4.7,1,334,"2024-11-14 19:00",,0.3,27.3,38,2,120.425311,22.56413611,51
鳳山,高雄市,76,細懸浮微粒,普通,1.2,0.89,17.5,43.8,48,27,28.8,32.5,3.6,0.4,215,"2024-11-14 19:00",,0.6,25.6,50,1,120.357422,22.628126,50
仁武,高雄市,65,細懸浮微粒,普通,1.3,0.38,24.3,44.0,46,17,22.4,23,0.5,0.4,280,"2024-11-14 19:00",,0.2,21.2,42,1,120.332631,22.689056,49
橋頭,高雄市,66,細懸浮微粒,普通,0.9,0.32,32.9,44.2,48,19,13.2,14.1,0.8,0.6,8,"2024-11-14 19:00",,0.2,21.7,48,0,120.305689,22.757506,48
美濃,高雄市,57,細懸浮微粒,普通,0.7,0.3,32.5,40.4,41,23,8.5,9.2,0.7,0.7,112,"2024-11-14 19:00",,0.2,18,37,0,120.530542,22.883583,47
臺南,臺南市,67,細懸浮微粒,普通,0.5,0.45,38.2,45.5,53,21,14.1,15.2,1.1,2.1,352,"2024-11-14 19:00",,0.2,22.1,49,0,120.21947897,22.98928311,46
安南,臺南市,63,細懸浮微粒,普通,0.7,0.28,41.9,45.7,45,21,7.2,8.1,0.8,2.2,310,"2024-11-14 19:00",,0.2,20.5,46,0,120.2175,23.048197,45
善化,臺南市,70,細懸浮微粒,普通,0.9,0.27,34.5,45.8,51,26,11.8,12.9,1,1.3,340,"2024-11-14 19:00",,0.1,23.1,51,1,120.29740529,23.11337642,44
新營,臺南市,87,細懸浮微粒,普通,1.2,0.26,36.3,44.9,72,38,13.7,15.4,1.6,2.5,10,"2024-11-14 19:00",,0.2,30.2,66,0,120.31725,23.305633,43
嘉義,嘉義市,120,細懸浮微粒,對敏感族群不健康,2,0.49,35.6,43.3,94,48,16.5,17.5,0.9,1.7,7,"2024-11-14 19:00",,0.3,42.8,82,1,120.44125148,23.46477865,42
臺西,雲林縣,55,細懸浮微粒,普通,1.2,0.21,31.3,41.6,38,12,8.4,9.5,1.1,1.5,27,"2024-11-14 19:00",,0.1,17.3,40,1,120.19933333,23.702175,41
朴子,嘉義縣,67,細懸浮微粒,普通,0.8,0.23,35.3,47.3,51,22,8.5,9.7,1.2,1.6,347,"2024-11-14 19:00",,0.1,22,48,1,120.2478,23.46538,40
新港,嘉義縣,88,細懸浮微粒,普通,1.7,0.19,31.9,47.4,50,22,8.8,9.8,0.9,1.5,326,"2024-11-14 19:00",,0.1,30.7,63,1,120.345531,23.554839,39
崙背,雲林縣,110,細懸浮微粒,對敏感族群不健康,0.8,0.24,20.4,39.2,58,34,10.7,11.1,0.4,0.3,280,"2024-11-14 19:00",,0.2,39,72,0,120.348742,23.757547,38
斗六,雲林縣,152,細懸浮微粒,對所有族群不健康,3.1,0.57,41.1,50.0,97,60,15.6,17.3,1.6,0.9,315,"2024-11-14 19:00",,0.3,56.7,86,1,120.544994,23.711853,37
南投,南投縣,123,細懸浮微粒,對敏感族群不健康,1.2,0.44,32.1,46.9,88,49,23.8,24.8,0.9,0.5,57,"2024-11-14 19:00",,0.3,43.9,75,1,120.685306,23.913,36
二林,彰化縣,87,細懸浮微粒,普通,1.6,0.18,23.7,45.2,35,16,9.1,10.2,1.1,0.6,331,"2024-11-14 19:00",,0.2,30.2,69,1,120.409653,23.925175,35
線西,彰化縣,69,細懸浮微粒,普通,1.1,0.14,22.5,43.1,36,11,9.6,10.4,0.7,0.3,359,"2024-11-14 19:00",,0.2,22.9,48,1,120.469061,24.131672,34
彰化,彰化縣,109,細懸浮微粒,對敏感族群不健康,1.7,0.39,15.3,28.9,60,24,24.5,25.7,1.2,0.9,286,"2024-11-14 19:00",,0.3,38.7,65,1,120.541519,24.066,33
西屯,臺中市,117,細懸浮微粒,對敏感族群不健康,1.2,0.44,41.6,37.2,84,43,20.6,22.5,1.8,0.8,7,"2024-11-14 19:00",,0.3,41.5,77,1,120.616917,24.162197,32
忠明,臺中市,110,細懸浮微粒,對敏感族群不健康,1.1,0.53,45.6,40.0,66,42,15.8,17.1,1.3,0.5,348,"2024-11-14 19:00",,0.4,39.1,64,1,120.641092,24.151958,31
大里,臺中市,131,細懸浮微粒,對敏感族群不健康,1.8,0.61,26.7,43.6,80,43,22.2,24,1.8,1.3,244,"2024-11-14 19:00",,0.4,47.2,75,1,120.67844444,24.09961111,30
沙鹿,臺中市,100,細懸浮微粒,普通,0.8,0.36,26.2,42.6,57,22,16.5,17.6,1,0.2,347,"2024-11-14 19:00",,0.3,35.4,71,1,120.568794,24.225628,29
豐原,臺中市,126,細懸浮微粒,對敏感族群不健康,1.2,0.43,26.5,35.3,91,47,13.6,14.5,0.9,0.6,144,"2024-11-14 19:00",,0.4,45.3,84,1,120.74252414,24.25699731,28
三義,苗栗縣,115,細懸浮微粒,對敏感族群不健康,0.8,0.31,52.1,41.5,75,38,3.6,4.7,1.1,0.3,324,"2024-11-14 19:00",,0.3,41,72,0,120.75956754,24.38248443,27
苗栗,苗栗縣,107,細懸浮微粒,對敏感族群不健康,1.5,0.44,34.6,50.4,64,46,13.6,14.8,1.2,1.2,183,"2024-11-14 19:00",,0.3,37.7,60,1,120.82011468,24.56499183,26
頭份,苗栗縣,99,細懸浮微粒,普通,1.4,0.46,35.4,53.4,61,35,20.9,22.2,1.2,1.3,288,"2024-11-14 19:00",,0.3,35,60,1,120.89869286,24.69690679,25
新竹,新竹市,106,細懸浮微粒,對敏感族群不健康,1.4,0.83,29.1,54.4,59,41,27.6,28,0.4,1.4,284,"2024-11-14 19:00",,0.4,37.6,53,1,120.97236752,24.8056356,24
竹東,新竹縣,102,細懸浮微粒,對敏感族群不健康,0.8,0.51,38.1,53.5,55,42,17.5,18.6,1,0.6,197,"2024-11-14 19:00",,0.4,36,56,1,121.08895493,24.74091408,23
湖口,新竹縣,120,細懸浮微粒,對敏感族群不健康,0.7,0.41,35.9,58.4,72,55,11.1,11.5,0.3,0.4,4,"2024-11-14 19:00",,0.3,43,54,0,121.03886894,24.90009696,22
龍潭,桃園市,138,細懸浮微粒,對敏感族群不健康,1.8,0.82,20.8,54.9,95,75,40,41.3,1.3,1.3,60,"2024-11-14 19:00",,0.5,49.7,69,1,121.21645772,24.86400048,21
平鎮,桃園市,129,細懸浮微粒,對敏感族群不健康,1.2,0.74,36.3,52.9,110,70,30.6,31.8,1.1,0.5,314,"2024-11-14 19:00",,0.4,46.4,72,1,121.203986,24.952786,20
觀音,桃園市,105,細懸浮微粒,對敏感族群不健康,0.5,0.36,35.4,52.6,73,42,17.9,18.5,0.5,1.2,313,"2024-11-14 19:00",,0.3,37.2,63,1,121.08283092,25.03556747,19
大園,桃園市,98,細懸浮微粒,普通,0.8,0.44,34.6,47.5,57,32,25.2,26.6,1.3,0.9,317,"2024-11-14 19:00",,0.4,34.7,60,2,121.20251473,25.06100357,18
桃園,桃園市,112,細懸浮微粒,對敏感族群不健康,4.6,0.86,8.5,43.6,79,49,55.5,58.6,3.1,1.4,82,"2024-11-14 19:00",,0.5,39.8,67,2,121.30500531,24.9947107,17
大同,臺北市,33,,良好,1.9,2.31,,,12,12,18,123.4,105.3,-,-,"2024-11-14 19:00",,1.3,10.3,13,0,121.51342074,25.06331455,16
松山,臺北市,18,,良好,0.7,0.38,2.8,9.3,13,4,11.5,30.2,18.6,2.2,22,"2024-11-14 19:00",,0.1,2.4,11,0,121.578611,25.05,15
古亭,臺北市,10,,良好,0,0.13,11.3,11.6,6,3,3.4,4.9,1.5,3.1,85,"2024-11-14 19:00",,0.1,1.6,8,,121.529556,25.020608,14
萬華,臺北市,18,,良好,1.7,0.34,2.4,6.1,9,1,11.6,23,11.4,3.1,86,"2024-11-14 19:00",,0.2,1.4,11,1,121.507972,25.046503,13
中山,臺北市,23,,良好,0.3,0.42,3.3,7.2,15,5,14.6,24.9,10.2,3.6,75,"2024-11-14 19:00",,0.2,5.3,12,0,121.526528,25.062361,12
士林,臺北市,15,,良好,0.3,0.21,7.1,11.2,9,3,9.2,11.6,2.4,2.6,143,"2024-11-14 19:00",,0.1,3.4,11,0,121.51666356,25.10334003,11
淡水,新北市,34,,良好,1,0.08,13.5,24.4,10,2,2.4,3.3,0.9,,,"2024-11-14 19:00",,0.1,10.5,24,1,121.449239,25.1645,10
林口,新北市,22,,良好,0,0.27,3.3,8.4,6,3,13.2,18,4.7,2.9,96,"2024-11-14 19:00",,0.2,2.5,11,0,121.36548982,25.07798949,9
菜寮,新北市,18,,良好,0.5,0.39,5.2,10.0,7,6,11.9,16.2,4.3,3.8,117,"2024-11-14 19:00",,0.2,5.5,9,0,121.481028,25.06895,8
新莊,新北市,24,,良好,0.7,0.29,5.4,9.8,17,7,9.3,11.6,2.2,3.2,89,"2024-11-14 19:00",,0.2,7.4,20,0,121.4325,25.037972,7
板橋,新北市,20,,良好,0.4,0.46,4.3,8.8,7,3,12.6,21.2,8.5,0.9,78,"2024-11-14 19:00",,0.3,4.4,12,0,121.458667,25.012972,6
土城,新北市,20,,良好,0.5,0.32,7.4,11.2,9,6,11,13.3,2.3,1.4,134,"2024-11-14 19:00",,0.2,6.2,13,0,121.451861,24.982528,5
新店,新北市,25,,良好,0.8,0.13,10.5,12.5,8,7,3.5,4.8,1.3,4,129,"2024-11-14 19:00",,0.1,7.7,8,0,121.537778,24.977222,4
萬里,新北市,12,,良好,0.3,0.16,8.4,12.4,7,5,5.4,9.7,4.2,1.6,210,"2024-11-14 19:00",,0.1,3.7,10,0,121.689881,25.179667,3
汐止,新北市,22,,良好,0.3,0.32,2.4,8.6,9,1,12.9,24.7,11.8,0.7,20,"2024-11-14 19:00",,0.1,6.7,8,0,121.64081,25.06624,2
基隆,基隆市,11,,良好,0.7,0.13,11.8,12.9,6,2,2.9,4.7,1.7,1.8,91,"2024-11-14 19:00",,0.1,1.7,8,0,121.760056,25.129167,1
屏東(枋山),屏東縣,42,,良好,0.5,0.17,57.7,45.5,41,15,2.8,3,0.1,1.2,316,"2024-11-14 18:00",,0.1,11.7,32,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,16,,良好,0.1,0.09,15,17.7,24,4,3.4,3.8,0.4,1.8,82,"2024-11-14 18:00",,0,3.1,15,0,121.82463916,24.85366672,312
新北(樹林),新北市,57,二氧化氮,普通,1.7,0.72,16.2,18.2,69,44,39.5,43.9,4.3,0,319,"2024-11-14 18:00",,0.3,17,35,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,69,細懸浮微粒,普通,0.5,0.2,41.7,52.7,29,14,3.6,4.6,1,0.8,316,"2024-11-14 18:00",,0.2,22.8,39,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,53,細懸浮微粒,普通,0.5,0.19,38.2,42.2,38,20,16.6,21.2,4.6,1.2,348,"2024-11-14 18:00",,0.1,16.4,43,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,51,細懸浮微粒,普通,1.1,0.21,41.6,40.8,32,16,5.6,6.2,0.6,0.8,274,"2024-11-14 18:00",,0.2,15.6,37,1,120.24535,22.87985556,202
